COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 15125 
 NOMBRE    : TEXCOCO (DGE) 
 ESTADO    : MÉXICO 
 MUNICIPIO : TEXCOCO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.50555556 ° 
 LONGITUD  : -98.88194444 ° 
 ALTITUD   : 2250 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	2.5	0	0	0.2	9.5	27.4	19.7	20.9	18.5	5.1	2.2	3.5	109.5	9.1	12
1962	0	1.2	3.3	28.8	17.3	28.1	26.5	19.5	17.2	37.5	4	7.8	191.2	15.9	12
1963	0.5	0.3	15.5	9.5	10.8	17	26	21.5	34.5	6	3.2	11.5	156.3	13	12
1964	9.5	0	6.5	13.2	16	42.5	16	20.8	26.4	19.3	4.8	10	185	15.4	12
1965	2.7	19.9	0.3	10.5	22.5	24.5	19.8	26.5	18	20.5	0.01	4	169.21	14.1	12
1966	11	0.4	17.8	16	4	21.2	73.8	24	16.3	20	0.01	4	208.51	17.4	12
1967	51	2	9.3	4.5	12.5	7	6.5	29	20	13.5	0.01	0.01	155.32	12.9	12
1968	5.7	8.9	0.01	8	16	20	33.2	18.4	36.5	25	1.5	7.5	180.71	15.1	12
1969	6	3	8	14.3	7.5	12.5	22	37.5	36.5	25	1.5	7.5	181.3	15.1	12
1970	4.8	1.2	0	7.5	15	21	19.5	28.5	12.5	12	0	0	122	10.2	12
1972	0	0	4	16.8	20.2	18.5	11	18.5	13.5	33.5	1.8	0	137.8	11.5	12
1973	0	4	2.5	12	23.5	10	17.5	22.5	25.5	12	6.5	2	138	11.5	12
1974	0	2	6	32	15	18.2	29.5	42.5	21	8.5	1.5	0	176.2	14.7	12
1975	17.5	2.5	5	9	20	22.5	20	19.5	17.9	7	0	0	140.9	11.7	12
1976	0	3	9.8	14.3	15.2	20	29.5	13.7	21	18	2.5	12.8	159.8	13.3	12
1977	0.5	3.5	0	1.5	20.7	20.3	36.5	19	28.8	17.5	27	1.5	176.8	14.7	12
1978	2	8	29.5	1	10	62.5	16.5	20.5	44.3	12	10.7	1.4	218.4	18.2	12
1979	1	11	24.8	2.3	28.6	32.2	16.2	21.5	58.5	0.1	1.2	12.5	209.9	17.5	12
1980	19	3	2.5	7.3	9.5	21	15.5	15.6	12	26.2	9.5	0	141.1	11.8	12
1981	19	4.7	11	10	39	30.2	43	17.4	17.6	13.8	20	2	227.7	19	12
1982	0	3.1	17.5	13	15.5	22.5	27.4	13	14.9	22.3	0	1.5	150.7	12.6	12
1983	17.4	9.5	8	0	5	34.3	18.2	21.5	13	12.3	4	0.7	143.9	12	12
1984	9.3	4.9	1.1	0.8	7.1	23.9	43.5	21.6	17.6	8.9	0	2	140.7	11.7	12
1985	4.5	0	2.5	11.6	12.5	30.2	10	47	18	8.6	3.4	0.2	148.5	12.4	12
1986	0	0.01	0	16	13.5	19	23.7	11	11.6	12.7	1	0	108.51	9	12
